item word word_untagged logFreq orthN length consistency AoA phonemeN
579 cabs cab 0.05 14 4 1 14 4
580 cache cache 0.1 0 5 0.5 14 3
581 cad cad 0.05 18 3 0.842105 14 3
582 cadge cadge 0.05 1 5 1 14 3
583 cads cad 0.05 13 4 0.916667 14 4
584 caff caff 0.05 3 4 1 14 3
585 cage cage 0.681175 12 4 1 4 3
586 cake cake 0.69857 17 4 1 4 3
587 cakes cake 0.515752 14 5 1 5 4
588 calf calf 0.5 3 4 1 5 4
589 call call 1 13 4 0.933333 2 3
590 called call 1 0 6 1 2 4
591 calls call 0.657267 8 5 1 4 4
592 calm calm 0.52345 4 4 1 4 4
593 calve calve 0.05 4 5 1 14 4
594 calves calf 0.325576 4 6 1 8 5
595 cam cam 0.1 15 3 1 14 3
596 came come 1 17 4 1 1 3
597 camp camp 0.869483 9 4 0.933333 3 4
598 camps camp 0.31305 4 5 0.909091 6 5
599 cams cam 0.05 15 4 1 14 4
600 cane cane 0.485798 17 4 1 5 3
601 canes cane 0.118322 13 5 1 14 4
602 cant cant 0.089443 9 4 0.9 14 4
603 cants cant 0.05 9 5 1 14 5
604 cap cap 0.685565 20 3 0.958333 3 3
605 cape cape 0.209762 14 4 1 5 3
606 capes cape 0.109545 10 5 1 14 4
607 caps cap 0.371484 19 4 1 6 4
608 car car 1 17 3 0.928571 2 3
609 card card 0.667832 12 4 0.9 4 4
610 cards card 0.609918 9 5 0.875 5 5
611 care care 1 22 4 0.9 2 3
612 cared care 0.368782 4 5 1 5 4
613 cares care 0.264575 16 5 0.941176 7 4
614 carp carp 0.178885 7 4 0.8 14 4
615 cars car 1 19 4 0.916667 2 4
616 cart cart 0.521536 16 4 0.857143 5 4
617 carts cart 0.282843 9 5 0.8 7 5
